,date,state,cases,deaths,color,fatality_rate
1793,2020-04-29,New York,299722,18015,#E26660,6.0105697946764
1791,2020-04-29,New Jersey,116264,6770,#DB5B67,5.822954654923278
1783,2020-04-29,Michigan,40360,3670,#B7308A,9.093161546085234
1782,2020-04-29,Massachusetts,60265,3405,#B12B8F,5.650045631792914
1800,2020-04-29,Pennsylvania,46191,2392,#F68F43,5.178497975796151
1774,2020-04-29,Illinois,50355,2221,#8104A7,4.410684142587628
1766,2020-04-29,Connecticut,26767,2168,#45039E,8.099525535173909
1764,2020-04-29,California,48904,1961,#340498,4.009896940945526
1779,2020-04-29,Louisiana,27660,1802,#A01B9B,6.514822848879248
1769,2020-04-29,Florida,33185,1216,#5C00A5,3.6643061624227813
1770,2020-04-29,Georgia,24300,1086,#6400A7,4.469135802469136
1781,2020-04-29,Maryland,20849,985,#AD2692,4.724447215693798
1775,2020-04-29,Indiana,17182,964,#8607A6,5.610522639972064
1797,2020-04-29,Ohio,17303,937,#EF7D4F,5.415245911113679
1811,2020-04-29,Washington,14378,805,#F8DF24,5.598831548198637
1806,2020-04-29,Texas,27836,776,#FDB92B,2.787756861618049
1765,2020-04-29,Colorado,14680,764,#3D039B,5.204359673024523
1810,2020-04-29,Virginia,14961,522,#FAD824,3.4890715861239223
1794,2020-04-29,North Carolina,9947,366,#E56C5B,3.679501357193123
1786,2020-04-29,Missouri,7564,331,#C5407D,4.375991538868323
1784,2020-04-29,Minnesota,4644,319,#BC3685,6.869078380706288
1813,2020-04-29,Wisconsin,6520,308,#F2F026,4.7239263803680975
1762,2020-04-29,Arizona,7202,308,#230590,4.2765898361566235
1760,2020-04-29,Alabama,6925,262,#0C0786,3.7833935018050537
1778,2020-04-29,Kentucky,4539,253,#9B179E,5.573914959242124
1802,2020-04-29,Rhode Island,8247,251,#FA9D3A,3.043530980962774
1785,2020-04-29,Mississippi,6569,250,#C13C80,3.8057543005023597
1789,2020-04-29,Nevada,4934,237,#D25070,4.8034049452776655
1803,2020-04-29,South Carolina,5881,232,#FBA436,3.9449073286855976
1798,2020-04-29,Oklahoma,3473,214,#F2844B,6.161819752375468
1768,2020-04-29,District of Columbia,4106,205,#5401A3,4.992693619094009
1805,2020-04-29,Tennessee,10312,204,#FDB22F,1.978277734678045
1776,2020-04-29,Iowa,6843,148,#8E0CA4,2.1627940961566563
1767,2020-04-29,Delaware,4655,144,#4E02A1,3.093447905477981
1777,2020-04-29,Kansas,3799,132,#9511A1,3.474598578573309
1792,2020-04-29,New Mexico,3213,112,#DF6163,3.485838779956427
1799,2020-04-29,Oregon,2446,101,#F48A47,4.129190515126738
1788,2020-04-29,Nebraska,3876,68,#CF4B74,1.7543859649122806
1790,2020-04-29,New Hampshire,2054,66,#D7566C,3.213242453748783
1773,2020-04-29,Idaho,1831,60,#7901A8,3.2768978700163847
1763,2020-04-29,Arkansas,3207,59,#2D0494,1.8397256002494544
1801,2020-04-29,Puerto Rico,1433,54,#F8963F,3.768318213538032
1780,2020-04-29,Maine,1056,52,#A72197,4.924242424242424
1808,2020-04-29,Vermont,862,47,#FCC726,5.452436194895592
1807,2020-04-29,Utah,4499,45,#FDC029,1.0002222716159146
1812,2020-04-29,West Virginia,1109,40,#F5E726,3.606853020739405
1795,2020-04-29,North Dakota,1033,19,#E97257,1.8393030009680542
1787,2020-04-29,Montana,451,16,#CA4678,3.5476718403547673
1772,2020-04-29,Hawaii,605,16,#7200A8,2.644628099173554
1804,2020-04-29,South Dakota,2375,13,#FCAA33,0.5473684210526315
1761,2020-04-29,Alaska,353,7,#18068B,1.9830028328611897
1814,2020-04-29,Wyoming,404,7,#EFF821,1.7326732673267329
1771,2020-04-29,Guam,1110,6,#6A00A7,0.5405405405405406
1809,2020-04-29,Virgin Islands,66,4,#FBD024,6.0606060606060606
1796,2020-04-29,Northern Mariana Islands,14,2,#EC7853,14.285714285714285
